"Glaciological.Mass.Balance"
" "
"ANNUAL_BALANCE = Annual mass balance of glacier divided by the area of the glacier in mm water equivalent (mm w.e.)"
"Informations about INVESTIGATOR, SPONS_AGENCY and REMARKS as reported to the WGMS"
" "
"When using the data, cite the World Glacier Monitoring Service (WGMS 2015, and earlier reports)"
"and/or the original investigators and sponsoring agencies according to the available meta-information."
"WGMS (2015, and earlier reports): Global Glacier Change Bulletin No. 1 (2012-2013). Zemp, M., Gärtner-Roer, I., Nussbaumer, S.U., Hüsler, F., Machguth, H., Mölg, N., Paul, F., and Hoelzle, M. (eds.), ICSU(WDS)/ IUGG(IACS)/ UNEP/ UNESCO/ WMO, World Glacier Monitoring Service, Zurich, Switzerland, 230 pp., publication based on database version: doi:10.5904/wgms-fog-2015-11."
" "
"Note that this file contains only a minimal set of data fields."
"Full information on available attributes can be found on the WGMS website: http://www.wgms.ch/downloads/WGMS_AttributeDescription.pdf"
"And can be ordered by email: wgms@geo.uzh.ch"
"  "
"PU";"NAME";"WGMS_ID";"LATITUDE";"LONGITUDE";"GEOREG1";"GEOREG2";"SURVEY_YEAR";"REFERENCE_YEAR";"WINTER_BALANCE";"SUMMER_BALANCE";"ANNUAL_BALANCE";"ELA";"AAR";"INVESTIGATOR";"SPONS_AGENCY";"REFERENCE";"REMARKS";"GEO.REGION_CODE"
"IN";"CHHOTA SHIGRI";2921;32.2349;77.5157;"Asia, South West";"Himalaya, West";1987;1986;NA;NA;-115;"";NA;"";"";"Data from Cogley (2008, updated 2013) based on: Wagnon et al. (2007); J Glaciol, 53(183), 603-611 p. Raina (2009); Himalayan Glaciers, 56 p. Azam et al. (2012); J Glaciol, 58, 315-324p. Vincent et al. (2013); TC, 7, 569-582p.";"";"ASW"
"IN";"CHHOTA SHIGRI";2921;32.2349;77.5157;"Asia, South West";"Himalaya, West";1988;1987;NA;NA;-195;"";NA;"";"";"Data from Cogley (2008, updated 2013) based on: Wagnon et al. (2007); J Glaciol, 53(183), 603-611 p. Raina (2009); Himalayan Glaciers, 56 p. Azam et al. (2012); J Glaciol, 58, 315-324p. Vincent et al. (2013); TC, 7, 569-582p.";"";"ASW"
"IN";"CHHOTA SHIGRI";2921;32.2349;77.5157;"Asia, South West";"Himalaya, West";2003;2002;NA;NA;-1430;"5170";31;"AL Ramanathan and collegues (see REFs)";"School of Environmental Science, Jawaharlal Neru University, New Delhi, India";"Wagnon et al. (2007, J. Glaciol.), Azam et al. (in comm, Ann. Glaciol.), Ramanathan et al. (2011, Himalayan Glaciology Technical Report), Mandal et al. (2015, EGU-Geophyiscal Research Abstracts)";"";"ASW"
"IN";"CHHOTA SHIGRI";2921;32.2349;77.5157;"Asia, South West";"Himalaya, West";2004;2003;NA;NA;-1240;"5165";31;"Ramanathan A. (SES)";"SES: School of Environmental Sciences, Jawaharlal Nehru University";"Wagnon et al. (2007, J. Glaciol.), Azam et al. (in comm, Ann. Glaciol.), Ramanathan et al. (2011, Himalayan Glaciology Technical Report), Mandal et al. (2015, EGU-Geophyiscal Research Abstracts)";"";"ASW"
"IN";"CHHOTA SHIGRI";2921;32.2349;77.5157;"Asia, South West";"Himalaya, West";2005;2004;NA;NA;130;"4855";74;"Ramanathan A. (SES)";"SES: School of Environmental Sciences, Jawaharlal Nehru University";"Wagnon et al. (2007, J. Glaciol.), Azam et al. (in comm, Ann. Glaciol.), Ramanathan et al. (2011, Himalayan Glaciology Technical Report), Mandal et al. (2015, EGU-Geophyiscal Research Abstracts)";"";"ASW"
"IN";"CHHOTA SHIGRI";2921;32.2349;77.5157;"Asia, South West";"Himalaya, West";2006;2005;NA;NA;-1430;"5185";29;"Ramanathan A. (SES), Azam F. (LGGE)";"LGGE: Laboratoire de Glaciologie et Géophysique de l'Environnement, CNRS & Université Joseph Fourier Grenoble, SES: School of Environmental Sciences, Jawaharlal Nehru University";"Wagnon et al. (2007, J. Glaciol.), Azam et al. (in comm, Ann. Glaciol.), Ramanathan et al. (2011, Himalayan Glaciology Technical Report), Mandal et al. (2015, EGU-Geophyiscal Research Abstracts)";"";"ASW"
"IN";"CHHOTA SHIGRI";2921;32.2349;77.5157;"Asia, South West";"Himalaya, West";2007;2006;NA;NA;-1000;"";NA;"Ramanathan A. (SES), Azam F. (LGGE)";"LGGE: Laboratoire de Glaciologie et Géophysique de l'Environnement, CNRS & Université Joseph Fourier Grenoble, SES: School of Environmental Sciences, Jawaharlal Nehru University";"Azam et al. (2012, J. Glaciol.), Azam et al. (in comm, Ann. Glaciol.), Ramanathan et al. (2011, Himalayan Glaciology Technical Report), Mandal et al. (2015, EGU-Geophyiscal Research Abstracts)";"";"ASW"
"IN";"CHHOTA SHIGRI";2921;32.2349;77.5157;"Asia, South West";"Himalaya, West";2008;2007;NA;NA;-950;"";NA;"Ramanathan A. (SES), Azam F. (LGGE)";"LGGE: Laboratoire de Glaciologie et Géophysique de l'Environnement, CNRS & Université Joseph Fourier Grenoble, SES: School of Environmental Sciences, Jawaharlal Nehru University";"Azam et al. (2012, J. Glaciol.), Azam et al. (in comm, Ann. Glaciol.), Ramanathan et al. (2011, Himalayan Glaciology Technical Report), Mandal et al. (2015, EGU-Geophyiscal Research Abstracts)";"";"ASW"
"IN";"CHHOTA SHIGRI";2921;32.2349;77.5157;"Asia, South West";"Himalaya, West";2009;2008;NA;NA;110;"";NA;"Ramanathan A. (SES), Azam F. (LGGE)";"LGGE: Laboratoire de Glaciologie et Géophysique de l'Environnement, CNRS & Université Joseph Fourier Grenoble, SES: School of Environmental Sciences, Jawaharlal Nehru University";"Azam et al. (2012, J. Glaciol.), Azam et al. (in comm, Ann. Glaciol.), Ramanathan et al. (2011, Himalayan Glaciology Technical Report), Mandal et al. (2015, EGU-Geophyiscal Research Abstracts)";"";"ASW"
"IN";"CHHOTA SHIGRI";2921;32.2349;77.5157;"Asia, South West";"Himalaya, West";2010;2009;NA;NA;310;"";NA;"Azam F. (LGGE), Ramanathan A. (LGGE)";"LGGE: Laboratoire de Glaciologie et Géophysique de l'Environnement, CNRS & Université Joseph Fourier Grenoble";"Azam et al. (2012, J. Glaciol.), Azam et al. (in comm, Ann. Glaciol.), Ramanathan et al. (2011, Himalayan Glaciology Technical Report), Mandal et al. (2015, EGU-Geophyiscal Research Abstracts)";"";"ASW"
