WMO Station ID,WMO Station Name,longitude,latitude,WMO Station Call Letters,Country/State Abbreviation,Elevation (m)
420440,QAZI GUND,75.08334,33.58333,VIQG,IN,1690
420450,BANIHAL,75.16666,33.5,VIBH,IN,1630
420560,JAMMU,74.83334,32.66667,,IN,367
420590,DALHOUSIE,75.96667,32.53333,,IN,1959
420600,KATHUA,75.5,32.33333,,IN,380
420620,DHARMSALA,76.38333,32.26667,,IN,1211
420630,KYELONG,77.06667,32.58333,,IN,3348
420650,MANALI,77.16666,32.26667,,IN,2039
420710,AMRITSAR,74.86667,31.63333,VIAR,IN,234
420740,KAPURTHALA,75.33334,31.33333,,IN,241
420750,JULLUNDUR,75.58334,31.46667,,IN,236
420780,MANDI,76.96667,31.71667,,IN,761
420800,BILASPUR,76.66666,31.25,VABI,IN,587
420810,KULU/BHUNTAR,77.16666,31.83333,VIBR,IN,1096
420830,SHIMLA,77.16666,31.1,,IN,2202
421010,PATIALA,76.46667,30.33333,,IN,251
421030,AMBALA,76.76667,30.38333,,IN,272
421050,CHANDIGARH (IN-AFB),76.88333,30.73333,VICG,IN,347
421070,DHARMPUR,77.01667,30.9,,IN,1986
421080,UTTARKASHI,78.45,30.73333,,IN,914
421110,DEHRA DUN,78.03333,30.31667,,IN,682
421120,MUSSOORIE,78.08334,30.45,,IN,2042
421140,TEHRI,78.48333,30.4,,IN,899
421160,JOSHIMATH,79.56667,30.55,,IN,1875
421210,MUNSYARI,80.25,30.11667,,IN,3414
421350,SANGRUR,75.83334,30.16667,,IN,236
421400,ROORKEE,77.88333,29.85,,IN,274
421510,DHARCHULA,80.53333,29.85,,IN,817
552280,SHIQUANHE,80.08334,32.5,,CI,4279
552480,LUMARINGBO,84.05,32.3,,CI,4420
554370,T'U-KO-ERH-HO-KUNG,81.43333,30.55,,CI,4736
